;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroùn;Africa * Guinée equatoriale;Africa * Namibie;Africa * Éthiopie;North America * USA;North America * Canadà;North America * ¡¢£¤¥¦§¨©ª«¬­®¯°±²³´µ¶·¸¹º»¼½¾¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖ×ØÙÚÛÜÝÞßàáâãäåæçèéêëìíîïðñòóôõö÷øùúûüýþÿ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????;""North America *  !\"#$%&'()*+,-./0123456789:<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\]^_`abcdefghijklmnopqrstuvwxyz{|}~""
1990-11-30;359,295815;3127,851937;265,663785;90,242921;185,846699;74,86203;27,827985;61,047266;98,282874;19,441951;41,543736;94,639999;116,32504;94,639999;94,639999
1990-12-31;356,560428;2911,487816;254,020899;81,435567;181,545331;67,78028;27,818327;62,094963;98,282874;19,52069;33,17953;72,587868;115,504068;72,587868;72,587868
1991-01-31;351,09625;2943,877843;253,882732;85,45433;181,900991;72,854677;26,400287;59,241609;98,282874;20,796642;36,636514;90,130421;120,174448;90,130421;90,130421
1991-02-28;346,178066;2908,986015;250,457724;84,517857;181,667307;68,374851;26,392354;58,943074;98,282874;20,975904;32,805351;86,861106;119,899228;86,861106;86,861106
1991-03-31;348,466184;2960,772384;238,158495;78,483611;172,192817;62,785698;26,433762;57,315816;98,282874;21,117856;41,711381;100,157449;121,044025;100,157449;100,157449
1991-04-30;351,24739;2949,550494;249,913876;95,461074;200,147307;70,7104;27,761499;61,675114;98,282874;20,14048;38,553865;84,36121;123,28143;84,36121;84,36121
1991-05-31;354,726024;3059,317218;253,088756;86,177816;179,834744;69,176657;27,83935;61,826297;98,282874;20,213397;71,464335;85,935686;123,319515;85,935686;85,935686
1991-06-30;356,177146;4328,58665;243,113428;84,197752;184,09811;71,806598;27,91018;61,321347;98,282874;20,26311;38,668026;96,517833;124,054764;96,517833;96,517833
1991-07-31;350,679593;3103,862452;250,771303;87,127907;183,199057;72,832303;28,655302;64,632833;98,282874;18,861717;44,825921;81,050848;123,314137;81,050848;81,050848
1991-08-31;355,422075;2787,420297;241,737093;93,848524;174,975831;70,965926;28,724888;64,876488;98,282874;18,823943;39,872356;80,299229;122,627393;80,299229;80,299229
1991-09-30;356,025335;2219,006841;245,861085;103,014524;153,159501;67,185542;28,762836;64,78383;98,282874;18,717044;43,029105;93,110936;123,486983;93,110936;93,110936
1991-10-31;358,149225;2757,379088;256,002865;95,944538;173,272629;67,254793;28,785297;65,622377;98,282874;18,735738;35,77689;81,691252;125,734616;81,691252;81,691252
1991-11-30;353,409467;2971,628606;235,616965;89,191231;165,187091;64,603767;28,796311;65,696373;98,282874;18,555103;37,40715;78,918405;125,668999;78,918405;78,918405
1991-12-31;353,162081;3060,600052;234,85653;85,997921;154,762948;66,52082;28,794124;65,659099;98,282874;18,55922;43,480466;102,024267;126,365561;102,024267;102,024267
1992-01-31;349,566233;2984,001362;250,815368;93,092512;164,934182;66,656382;30,385212;66,465188;98,282874;17,951238;48,055002;91,048597;123,040671;91,048597;91,048597
1992-02-29;366,458399;3020,089197;243,828193;91,819595;160,304215;68,805996;30,346064;66,313216;98,282874;18,07328;47,624467;111,807283;124,667709;111,807283;111,807283
1992-03-31;354,224294;2912,942703;244,364722;89,373293;163,069408;66,438146;30,477386;65,6393;98,282874;18,220573;38,492175;75,792765;122,731337;75,792765;75,792765
1992-04-30;352,929092;2887,54709;253,280412;89,751275;159,246728;66,799311;29,503745;64,245429;98,282874;17,725941;40,458;112,681922;116,860321;112,681922;112,681922
1992-05-31;349,210977;2929,508314;231,756876;88,527013;155,508435;57,562909;29,623792;64,20351;98,282874;17,921022;34,092883;80,871091;117,584619;80,871091;80,871091
1992-06-30;344,578526;2748,850147;235,112373;89,689265;145,777811;65,693094;29,764819;63,904896;98,282874;18,025065;46,54104;79,314752;118,048253;79,314752;79,314752
1992-07-31;349,249097;2628,817097;232,277854;90,62972;149,955871;67,503411;31,254953;65,608426;98,282874;18,354287;47,379319;89,25436;115,65259;89,25436;89,25436
1992-08-31;341,932694;2480,774492;221,660696;88,507035;142,606033;64,86936;31,44105;66,450147;98,282874;18,465555;43,954122;89,387423;114,373715;89,387423;89,387423
1992-09-30;334,330346;2933,776038;216,897441;88,976988;141,23807;65,850672;31,582022;65,709921;98,282874;18,483259;38,488599;97,787204;115,764222;97,787204;97,787204
1992-10-31;324,380921;3270,53444;212,903304;83,033656;140,356528;66,18635;30,33938;63,062912;98,282874;16,346813;41,85282;94,197644;116,400172;94,197644;94,197644
1992-11-30;325,438249;2901,018627;227,04141;87,088743;133,899053;63,081617;30,441758;63,970587;98,282874;16,314411;72,724196;88,988769;116,6272;88,988769;88,988769
1992-12-31;327,326931;2963,61914;226,704215;92,731936;125,687324;63,647811;30,327543;64,124704;98,282874;16,337402;42,114799;80,544457;115,521389;80,544457;80,544457
1993-01-31;327,975383;3110,937429;194,458129;86,370534;142,146135;54,406735;28,763283;62,502223;98,282874;15,646298;50,464691;70,622581;111,635576;70,622581;70,622581
1993-02-28;333,692795;3014,29228;233,967074;96,52099;131,391053;59,956818;28,908866;62,129115;98,282874;15,778415;39,29359;86,602752;112,998111;86,602752;86,602752
1993-03-31;324,79762;3090,387357;227,989849;96,106203;125,504134;56,517213;29,294647;61,533354;98,282874;15,958066;46,073834;93,899869;113,781154;93,899869;93,899869
1993-04-30;334,765962;3043,628151;228,422612;94,64954;129,152314;62,412695;28,361686;61,416815;98,282874;17,466756;63,295595;119,111445;121,812889;119,111445;119,111445
1993-05-31;326,363049;3015,141625;206,414963;89,156691;123,069563;49,441532;28,802168;61,8436;98,282874;17,788647;62,226462;82,976776;117,862928;82,976776;82,976776
1993-06-30;320,561175;2954,229162;223,119349;93,98066;124,325311;56,261894;29,069728;60,903942;98,282874;17,931544;56,728732;88,324962;120,802175;88,324962;88,324962
1993-07-31;322,143331;3079,128986;231,945806;92,139421;117,120463;55,556145;27,810933;60,465901;98,282874;18,349743;38,260891;95,393775;124,841163;95,393775;95,393775
1993-08-31;317,022806;3185,642278;225,357264;87,722106;122,705069;67,185154;28,166212;65,181187;98,282874;18,939382;60,528902;96,456576;123,153221;96,456576;96,456576
1993-09-30;320,125875;2124,569283;235,12732;88,776241;120,797144;61,048761;28,51599;59,778974;98,282874;18,906473;58,089325;84,711438;123,612425;84,711438;84,711438
1993-10-31;332,386213;2882,451903;211,915364;89,418349;117,653405;52,884713;27,872791;57,239532;98,282874;20,200193;35,717746;84,552808;123,116935;84,552808;84,552808
1993-11-30;342,550392;3274,143524;214,421222;88,673088;114,277977;57,348998;28,100503;59,65118;98,282874;20,398739;65,826792;84,744589;124,594186;84,744589;84,744589
1993-12-31;353,382499;3192,950847;228,595074;90,846064;118,994795;59,888272;27,743527;61,12199;98,282874;20,859729;62,859541;106,775998;125,524279;106,775998;106,775998
1994-01-31;347,420415;2443,99526;216,799699;88,612744;108,816261;61,71368;28,69177;61,202571;98,282874;21,74389;60,736829;105,170861;121,626405;105,170861;105,170861
1994-02-28;341,244496;3056,403251;199,518983;91,770624;111,837032;61,834148;28,586304;60,808794;98,282874;21,974795;64,877933;72,113898;123,186415;72,113898;72,113898
1994-03-31;341,502961;3037,756684;237,381046;86,557355;112,262404;66,891114;29,511846;60,287405;98,282874;22,372083;38,685734;105,072716;125,460592;105,072716;105,072716
1994-04-30;335,608326;3111,77696;204,248251;92,956104;101,574405;62,937754;32,514969;75,352343;98,282874;23,547316;77,988399;72,874944;126,655637;72,874944;72,874944
1994-05-31;334,65508;2941,723024;235,876465;90,19546;109,011754;68,040727;33,715568;75,1002;98,282874;23,971506;60,516789;98,94592;122,392209;98,94592;98,94592
1994-06-30;341,41907;3484,211593;230,998155;91,891828;114,789233;66,823119;33,868183;74,9062;98,282874;24,047518;51,191514;107,728419;127,24989;107,728419;107,728419
1994-07-31;329,64222;3326,440537;211,453833;91,515462;106,646396;62,639319;33,246636;73,282451;98,282874;26,535162;53,207408;85,687484;124,411922;85,687484;85,687484
1994-08-31;329,889387;3435,442095;227,695473;108,873332;112,270109;67,444698;34,250586;74,273584;98,282874;28,849721;48,162188;85,48858;121,634662;85,48858;85,48858
1994-09-30;330,227745;2583,738101;213,883861;98,171201;107,826753;67,920458;34,708482;73,100667;98,282874;28,029716;61,910513;93,010774;126,249773;93,010774;93,010774
1994-10-31;318,464924;3032,418052;220,8454;91,318934;94,973158;64,971657;38,683568;72,511985;98,282874;31,180904;38,523536;105,78115;122,862285;105,78115;105,78115
1994-11-30;317,253183;3078,524218;219,921367;95,304104;112,301799;73,340839;39,336092;73,523057;98,282874;32,005827;26,79448;93,295366;125,894419;93,295366;93,295366
1994-12-31;310,274957;3009,699873;215,975573;95,084405;114,309196;75,096828;38,287257;73,704146;98,282874;33,74109;44,73277;129,804511;128,184586;129,804511;129,804511
1995-01-31;303,508135;3135,737689;222,270705;100,128654;111,318277;77,021794;36,671727;86,477373;98,282874;32,857815;35,782955;94,193098;131,173687;94,193098;94,193098
1995-02-28;301,565205;3025,419565;217,568724;90,433631;107,442464;72,115662;36,115522;86,715709;98,282874;32,829369;39,373917;86,239665;123,766183;86,239665;86,239665
1995-03-31;307,96692;2964,337194;221,947579;97,716684;103,973554;74,416916;38,192662;87,815532;98,282874;33,529662;35,954467;83,894783;131,759187;83,894783;83,894783
1995-04-30;299,510169;2942,761303;221,325666;87,229991;87,789917;68,929886;32,745351;82,397793;98,282874;31,878416;31,343375;85,490584;112,822743;85,490584;85,490584
1995-05-31;301,659213;3239,615216;230,939963;95,859211;103,199701;74,373597;35,011663;82,359762;98,282874;32,196494;41,684951;94,777853;132,180972;94,777853;94,777853
1995-06-30;303,82895;1904,301498;228,000934;96,454814;98,455442;73,251623;34,939101;82,410565;98,282874;31,619853;41,790507;87,24831;123,531665;87,24831;87,24831
1995-07-31;293,753835;2003,225958;210,681046;95,983226;94,558487;72,058288;34,10438;81,713997;98,282874;32,09966;43,588767;91,804805;116,092916;91,804805;91,804805
1995-08-31;297,751918;2861,749562;224,192263;108,277652;101,396465;68,362505;35,656625;81,746323;98,282874;37,74344;44,690116;91,605671;150,874222;91,605671;91,605671
1995-09-30;291,825771;3301,004005;222,280295;91,45013;94,524344;71,602164;36,206197;81,919695;98,282874;34,150357;40,968758;86,302332;109,356584;86,302332;86,302332
1995-10-31;295,006424;3064,17713;208,614496;93,206898;89,538196;71,504529;35,746639;84,230496;98,282874;33,271225;43,721073;83,529672;127,380558;83,529672;83,529672
1995-11-30;316,181647;2987,26056;221,263871;97,25637;98,226704;71,848871;36,528199;84,563996;98,282874;34,887579;47,068294;93,620527;140,256394;93,620527;93,620527
1995-12-31;280,401935;2898,388499;191,439344;93,812444;93,688767;61,860959;35,044062;84,400496;98,282874;38,407742;43,228917;74,996574;97,921678;74,996574;74,996574
1996-01-31;282,131349;2946,985622;214,453162;93,502565;94,258954;67,527248;42,30619;85,567872;98,282874;34,324157;33,190816;85,172558;124,690081;85,172558;85,172558
1996-02-29;273,154876;2926,818091;209,096913;90,095182;85,656782;70,007867;46,425378;85,882059;98,282874;33,053058;36,046609;83,648362;125,112298;83,648362;83,648362
1996-03-31;266,532741;2928,443701;179,420203;90,921403;87,515105;62,811752;41,756739;85,818784;98,282874;31,192372;41,945205;81,514397;116,688104;81,514397;81,514397
1996-04-30;268,835677;2744,910383;201,394019;90,248798;94,41861;66,704038;45,335624;86,570072;98,282874;33,432913;39,492865;81,859218;120,303864;81,859218;81,859218
1996-05-31;262,827304;2945,96163;200,028024;97,918596;94,338796;65,473034;42,74125;87,198787;98,282874;34,605763;39,674265;88,656564;131,62223;88,656564;88,656564
1996-06-30;257,160595;2277,290657;186,004059;92,420451;89,811743;58,992899;39,812579;87,389186;98,282874;33,332497;37,034173;83,108003;121,189408;83,108003;83,108003
1996-07-31;253,54542;1419,951912;210,375644;107,533533;108,598466;65,315732;42,799717;86,188751;98,282874;33,780475;37,385306;86,261543;127,112641;86,261543;86,261543
1996-08-31;249,838435;2205,146114;198,832147;96,208;91,158753;70,629379;54,207433;87,593315;98,282874;33,625214;46,486268;87,51712;136,404182;87,51712;87,51712
1996-09-30;238,367202;2660,897726;192,172753;91,305239;94,39471;63,278384;41,78595;86,468688;98,282874;33,611962;46,448627;81,484678;123,898381;81,484678;81,484678
1996-10-31;229,175653;2433,059245;216,519114;102,613703;100,6735;67,017926;42,62922;85,549563;98,282874;37,910991;54,281248;88,395079;126,957559;88,395079;88,395079
1996-11-30;228,167217;2376,755868;193,138255;95,76546;94,392607;63,574791;42,371177;86,381373;98,282874;35,913923;48,750359;90,906898;125,522649;90,906898;90,906898
1996-12-31;222,94208;2359,315396;204,313374;77,303031;96,502876;67,376784;38,65762;87,589619;98,282874;37,793199;36,984121;73,466976;124,699302;73,466976;73,466976
1997-01-31;217,866256;2337,894127;198,371429;90,992561;86,963838;63,741221;45,782811;86,885078;98,282874;37,87234;28,833264;87,269601;121,851126;87,269601;87,269601
1997-02-28;222,371077;2313,291672;206,682781;94,484058;100,903905;67,098123;46,356892;87,585652;98,282874;38,047179;84,309407;91,005755;123,403067;91,005755;91,005755
1997-03-31;214,529721;2363,848903;190,688371;95,826121;86,819036;65,697168;41,863927;86,858875;98,282874;32,498591;55,207908;80,792933;119,367399;80,792933;80,792933
1997-04-30;214,653081;2456,240265;248,105995;105,747015;109,508424;70,271544;52,739736;92,489358;98,282874;40,965331;58,622495;92,396515;143,587731;92,396515;92,396515
1997-05-31;210,680536;2481,173518;195,602287;97,58236;103,822252;68,272082;42,780605;93,634821;98,282874;41,354885;48,005816;86,283822;127,22162;86,283822;86,283822
1997-06-30;205,114854;2607,326665;202,965383;95,858905;103,400885;72,453386;46,356262;94,432106;98,282874;40,224263;59,09363;84,885826;137,951408;84,885826;84,885826
1997-07-31;212,568814;2468,952371;204,07365;88,624883;112,326577;71,614817;49,729477;98,282165;98,282874;40,615569;68,522932;90,152355;143,61657;90,152355;90,152355
1997-08-31;207,401972;2304,273767;195,815918;89,675295;105,138471;69,392338;49,364958;98,284287;98,282874;40,43103;59,274793;87,847046;132,304666;87,847046;87,847046
1997-09-30;211,793081;2235,841194;212,424083;111,755787;113,499177;73,178135;50,044723;99,441661;98,282874;42,190842;61,714998;87,733803;140,685202;87,733803;87,733803
1997-10-31;213,809599;2111,475048;217,850848;105,77895;113,238191;76,592756;51,42113;99,386603;98,282874;42,886957;51,178049;89,051468;140,95489;89,051468;89,051468
1997-11-30;210,51109;2059,120786;212,633341;94,373313;102,595528;73,472138;43,061246;99,772146;98,282874;42,418965;50,147861;78,704088;131,31956;78,704088;78,704088
1997-12-31;215,718372;2131,058781;215,156513;106,051509;103,488339;76,817552;59,043827;100,458045;98,282874;45,696067;41,204859;90,022291;137,690134;90,022291;90,022291
1998-01-31;211,714356;2070,288038;199,297344;105,355014;105,26916;78,056497;50,699373;100,048953;98,282874;47,909825;65,26765;86,166598;116,503486;86,166598;86,166598
1998-02-28;210,310012;2025,525315;201,622235;103,535043;105,13529;75,935694;53,420613;100,531303;98,282874;50,110692;68,786961;89,825174;118,140996;89,825174;89,825174
1998-03-31;209,47525;1805,603247;212,850844;99,184252;102,36038;81,371671;53,816843;99,906635;98,282874;51,005608;59,681828;90,155945;115,384678;90,155945;90,155945
1998-04-30;207,250813;2083,321452;199,79739;100,532921;98,620023;79,077383;55,518934;105,542264;98,282874;48,669912;56,44441;86,8914;109,081861;86,8914;86,8914
1998-05-31;204,017124;1777,022851;169,863054;95,85329;98,916134;76,267227;52,766393;106,037999;98,282874;50,650537;63,5417;86,244288;103,341718;86,244288;86,244288
1998-06-30;201,386235;1893,695645;193,177412;99,809596;106,952596;78,599866;58,938416;107,387081;98,282874;55,904424;64,321926;90,423944;111,935508;90,423944;90,423944
1998-07-31;204,631206;2057,753082;194,9006;99,324185;111,020719;81,765354;56,644379;108,763135;98,282874;60,329506;57,249804;93,03264;107,475143;93,03264;93,03264
1998-08-31;200,04944;2023,218464;184,944138;97,32443;106,302923;69,478207;58,946419;108,113769;98,282874;52,728399;58,656197;91,314855;112,835859;91,314855;91,314855
1998-09-30;200,788958;1972,331132;209,249958;99,678496;108,132093;79,865559;59,939889;110,35606;98,282874;62,075881;58,522187;97,643491;108,105555;97,643491;97,643491
1998-10-31;199,260019;2011,249394;151,988791;91,861508;105,199318;75,868657;58,783004;110,582257;98,282874;60,812356;61,3849;87,301862;98,554692;87,301862;87,301862
1998-11-30;208,23599;2033,642961;185,515817;93,491595;109,161309;78,382009;61,731687;110,895258;98,282874;59,828024;70,903192;83,669826;107,851331;83,669826;83,669826
1998-12-31;198,166257;1931,579834;189,163107;94,826609;110,223408;76,46913;62,925408;111,691425;98,282874;63,318459;72,614642;90,301983;113,59981;90,301983;90,301983
1999-01-31;195,326503;1819,7599;176,812447;90,84152;103,785728;74,469894;60,301206;112,203211;98,282874;56,515888;68,650229;85,445228;111,633635;85,445228;85,445228
1999-02-28;192,876641;1822,969256;178,334183;91,311052;104,362692;70,570078;63,328922;112,709837;98,282874;66,570445;72,381742;85,292602;111,069625;85,292602;85,292602
1999-03-31;190,464405;2025,537245;186,555896;96,375973;114,959285;73,273419;67,375083;112,842099;98,282874;67,996103;65,99687;90,309303;118,965576;90,309303;90,309303
1999-04-30;185,826209;1736,73017;193,98693;102,782457;115,111719;79,125719;64,950829;127,718323;98,282874;67,02708;93,420609;94,522479;124,718681;94,522479;94,522479
1999-05-31;165,114576;752,364018;187,452227;92,112667;116,857432;77,216577;66,505593;126,570317;98,282874;61,172542;62,94722;84,122572;126,988034;84,122572;84,122572
1999-06-30;184,612008;1838,336714;201,968054;93,222513;128,125245;77,700724;69,710685;128,929103;98,282874;67,808589;86,956444;86,757256;120,931734;86,757256;86,757256
1999-07-31;186,827719;2094,873938;192,267982;90,843657;112,899652;77,061512;67,903912;120,981615;98,282874;61,633655;63,367167;81,975443;122,132518;81,975443;81,975443
1999-08-31;187,04196;1909,814421;199,019852;95,841864;119,140033;65,975777;69,00736;118,604285;98,282874;74,38887;61,211539;86,546587;137,456309;86,546587;86,546587
1999-09-30;184,824178;1984,486912;220,674311;97,753312;118,050891;77,961516;66,630914;122,965616;98,282874;72,184;59,201141;84,630735;129,828406;84,630735;84,630735
1999-10-31;187,094256;1969,056681;186,138324;89,495757;113,352318;76,294776;68,869244;128,145069;98,282874;65,918917;72,363258;82,732338;130,515645;82,732338;82,732338
1999-11-30;185,812026;1955,522049;188,040625;97,97667;118,334387;79,111804;70,361798;127,588015;98,282874;71,517581;55,980061;89,541431;140,400439;89,541431;89,541431
1999-12-31;165,83191;1851,567763;199,272324;85,967157;124,863057;87,601103;71,783182;127,117811;98,282874;60,202246;73,680231;84,047394;153,438199;84,047394;84,047394
2000-01-31;170,763559;1898,395069;193,002036;93,913116;119,212561;76,658029;71,122909;127,218392;98,282874;69,23318;45,531804;88,771528;99,76452;88,771528;88,771528
2000-02-29;177,703715;1960,503471;191,390195;100,977575;126,510113;83,107748;73,177347;127,784523;98,282874;62,625332;85,057584;90,658811;102,977058;90,658811;90,658811
2000-03-31;172,467148;1849,460608;195,584331;95,105919;121,366147;82,783694;77,616577;129,346973;98,282874;66,288034;66,962145;94,921858;103,685609;94,921858;94,921858
2000-04-30;155,571926;1772,101642;171,287069;89,098823;107,684188;74,872647;68,291548;126,802341;98,282874;74,759141;54,290752;84,163494;93,278658;84,163494;84,163494
2000-05-31;163,825256;1510,484079;198,833238;112,531188;132,865797;87,157845;79,99051;126,185406;98,282874;78,49555;45,265725;97,129449;121,619211;97,129449;97,129449
2000-06-30;173,412969;930,436726;192,723702;100,809381;115,387271;77,207708;69,180755;127,146771;98,282874;72,793459;51,206148;95,311037;99,054538;95,311037;95,311037
2000-07-31;169,166163;1718,0643;192,092772;103,408769;113,185635;76,457181;66,805408;126,591515;98,282874;67,175282;47,459366;89,646623;87,679474;89,646623;89,646623
2000-08-31;177,037452;1877,258346;226,919504;100,170807;117,726318;83,302936;78,106333;124,788149;98,282874;61,868086;53,468271;96,047662;93,909736;96,047662;96,047662
2000-09-30;171,982116;1807,323178;205,783365;94,871152;114,448296;80,889176;80,633495;127,604708;98,282874;72,590902;50,985707;93,2529;97,890184;93,2529;93,2529
2000-10-31;168,128309;1887,321611;210,420869;99,630313;116,115459;82,04373;74,754196;133,592406;98,282874;76,288494;55,479817;95,774659;103,599995;95,774659;95,774659
2000-11-30;165,559798;1954,77507;208,972153;97,264043;122,663149;84,109253;75,740354;132,757758;98,282874;78,729799;55,415784;102,283019;105,370488;102,283019;102,283019
2000-12-31;171,332067;1912,278231;183,661801;102,431566;118,082602;82,29531;75,27974;132,350304;98,282874;77,980498;55,925104;99,472667;104,074033;99,472667;99,472667
2001-01-31;169,271866;1907,31025;205,609215;93,166017;128,773106;85,80386;79,218963;138,419965;98,282874;80,406266;62,15126;96,184348;101,792851;96,184348;96,184348
2001-02-28;167,012136;1806,448307;195,197179;96,524893;122,166278;84,123504;77,37322;138,87334;98,282874;82,044764;52,702144;94,725794;103,321011;94,725794;94,725794
2001-03-31;165,560418;1861,416857;200,684045;101,482442;120,449975;83,823988;81,13564;141,460088;98,282874;86,681967;54,291843;97,54172;104,788341;97,54172;97,54172
2001-04-30;165,790719;1863,437596;162,373224;92,654051;113,76679;78,066951;75,544216;132,361888;98,282874;79,119508;50,660198;87,082056;96,078661;87,082056;87,082056
2001-05-31;166,311944;1862,151802;187,050435;100,947704;130,441002;81,984797;83,864412;131,368645;98,282874;79,385739;57,780232;94,926758;96,420765;94,926758;94,926758
2001-06-30;165,90051;2046,056744;194,35107;90,805596;120,353714;80,27641;80,303092;131,637008;98,282874;81,569008;57,096823;99,170597;97,603782;99,170597;99,170597
2001-07-31;164,786887;1736,896891;193,04707;97,977047;125,644717;76,52428;77,682358;133,347885;98,282874;89,048459;65,899399;98,251429;97,763059;98,251429;98,251429
2001-08-31;166,28021;1698,28465;189,797033;107,221278;127,416576;85,919951;78,515351;131,391463;98,282874;79,156287;72,091996;101,765877;104,004663;101,765877;101,765877
2001-09-30;166,42654;1653,889582;186,029919;94,529739;123,629123;76,622583;76,312202;134,185199;98,282874;80,593704;62,957901;95,186619;101,949167;95,186619;95,186619
2001-10-31;165,385041;1632,96249;179,67637;103,493336;124,767567;78,121862;81,316779;130,349386;98,282874;91,53584;64,492573;96,354843;108,698448;96,354843;96,354843
2001-11-30;162,838088;1307,208281;182,720314;102,385639;140,359215;76,435313;78,541743;130,677206;98,282874;92,872079;92,531517;91,062333;110,459609;91,062333;91,062333
2001-12-31;160,526185;1261,272333;176,779381;99,578867;123,373832;73,379977;67,716312;131,256631;98,282874;83,375392;53,155509;73,796003;101,110501;73,796003;73,796003
2002-01-31;164,621399;1716,470485;184,618442;105,63789;129,500434;72,222626;80,316987;133,000281;98,282874;91,992188;91,50561;98,015632;110,949406;98,015632;98,015632
2002-02-28;160,71777;1682,333562;191,645132;98,136566;125,400922;74,155277;80,667708;134,292011;98,282874;99,637776;73,385736;88,610636;108,019381;88,610636;88,610636
2002-03-31;166,366778;1642,22265;172,838133;102,248046;125,239475;75,380788;73,803639;133,422635;98,282874;91,53311;86,931255;88,584897;109,956684;88,584897;88,584897
2002-04-30;166,850187;1597,881109;183,439635;102,8568;133,477298;75,399537;81,647438;139,700168;98,282874;86,599694;76,946747;84,762846;113,492974;84,762846;84,762846
2002-05-31;156,963315;1733,576856;194,608173;98,780057;124,295795;75,749341;79,412544;137,760203;98,282874;89,241587;83,846071;91,01697;114,747414;91,01697;91,01697
2002-06-30;155,015676;1882,491487;175,540416;100,344348;126,765306;78,674517;80,396371;137,234587;98,282874;85,791511;79,635944;98,091438;118,740975;98,091438;98,091438
2002-07-31;154,468936;1730,918613;181,971544;104,103752;148,475222;82,883948;85,550668;135,987314;98,282874;92,430137;82,085162;95,032041;116,264391;95,032041;95,032041
2002-08-31;154,463569;1651,77719;182,228013;93,411332;126,035455;78,850698;80,15245;139,925446;98,282874;69,723525;76,261369;95,61165;104,803965;95,61165;95,61165
2002-09-30;155,164881;1681,767938;175,59544;105,823051;123,026244;81,134987;79,47248;135,05214;98,282874;84,535764;85,814656;94,514925;116,680928;94,514925;94,514925
2002-10-31;155,101739;1543,248829;182,046147;116,912588;135,259575;78,065236;79,18756;135,726533;98,282874;83,374909;81,403578;91,320203;110,761615;91,320203;91,320203
2002-11-30;154,140446;1517,584363;174,345603;105,013646;125,549852;74,255785;79,693178;135,021113;98,282874;82,264726;87,388601;86,676201;105,675758;86,676201;86,676201
2002-12-31;147,924421;1674,120373;173,979192;98,476222;124,889334;78,890896;76,601128;134,496465;98,282874;88,622038;77,994427;72,261451;103,553281;72,261451;72,261451
